"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","615","test_invalid_password[chromium]","tests","2026-06-17","passed","2026-06-17","","test_login","",""
"","1669","test_successful_login[chromium]","tests","2026-06-17","passed","2026-06-17","","test_login","",""
"E2E тест: Полный цикл покупки товара.","2611","test_full_checkout_flow[chromium]","tests","2026-06-17","passed","2026-06-17","","test_e2e","",""
"Тест, который проверяет мгновенный доступ к инвентарю без UI-логина.","588","test_direct_inventory_access[chromium]","tests","2026-06-17","passed","2026-06-17","","test_api_bypass","",""
"","1423","test_locked_out_user[chromium]","tests","2026-06-17","passed","2026-06-17","","test_login","",""
