"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1304","test_locked_out_user[chromium]","tests","2026-06-17","passed","2026-06-17","","test_login","",""
"Тест, который проверяет мгновенный доступ к инвентарю без UI-логина.","752","test_direct_inventory_access[chromium]","tests","2026-06-17","passed","2026-06-17","","test_api_bypass","",""
"","570","test_invalid_password[chromium]","tests","2026-06-17","passed","2026-06-17","","test_login","",""
"","1767","test_successful_login[chromium]","tests","2026-06-17","passed","2026-06-17","","test_login","",""
"E2E тест: Полный цикл покупки товара.","2696","test_full_checkout_flow[chromium]","tests","2026-06-17","passed","2026-06-17","","test_e2e","",""
