"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    Тест проверяет полный цикл работы с API: создание сущности (POST) 
    и последующее ее извлечение (GET) с проверкой сохраненности данных.
    ","206","test_create_and_get_customer","tests","2026-07-02","passed","2026-07-02","","test_mock_api","",""
"Тест: мгновенный доступ в корзину (Deep Linking) с помощью обхода логина.","586","test_direct_cart_access[chromium]","tests","2026-07-02","passed","2026-07-02","","test_api_bypass","",""
"Тест, который проверяет мгновенный доступ к инвентарю без UI-логина.","863","test_direct_inventory_access[chromium]","tests","2026-07-02","passed","2026-07-02","","test_api_bypass","",""
"","1133","test_locked_out_user[chromium]","tests","2026-07-02","passed","2026-07-02","","test_login","",""
"E2E тест: Полный цикл покупки товара.","1950","test_full_checkout_flow[chromium]","tests","2026-07-02","passed","2026-07-02","","test_e2e","",""
"","1690","test_successful_login[chromium]","tests","2026-07-02","passed","2026-07-02","","test_login","",""
"Тест: попытка зайти на внутреннюю страницу без авторизации (без куки).","847","test_unauthorized_access_redirect[chromium]","tests","2026-07-02","passed","2026-07-02","","test_api_bypass","",""
"","1581","test_invalid_password[chromium]","tests","2026-07-02","passed","2026-07-02","","test_login","",""
